model,trial,value,best_so_far
LGBM,2,0.2794427932895714,0.28262285119772157
LGBM,3,0.28277222454554046,0.28277222454554046
LGBM,4,0.2795269896485066,0.28277222454554046
LGBM,5,0.2880372952624151,0.2880372952624151
LGBM,6,0.2619621826144159,0.2880372952624151
LGBM,7,0.2505751244626548,0.2880372952624151
LGBM,8,0.27760009374464645,0.2880372952624151
LGBM,9,0.2820446234043131,0.2880372952624151
LGBM,10,0.27451936736110144,0.2880372952624151
LGBM,11,0.27756422724758156,0.2880372952624151
LGBM,12,0.2929968362000725,0.2929968362000725
LGBM,13,0.2875187785192142,0.2929968362000725
LGBM,14,0.25863740421719733,0.2929968362000725
LGBM,15,0.28668430240655,0.2929968362000725
LGBM,16,0.2748099433919837,0.2929968362000725
LGBM,17,0.28056444468741043,0.2929968362000725
LGBM,18,0.2882434640180015,0.2929968362000725
LGBM,19,0.27387976663286756,0.2929968362000725
LGBM,20,0.27103912733175145,0.2929968362000725
LGBM,21,0.2841613121712821,0.2929968362000725
LGBM,22,0.2802472217777475,0.2929968362000725
LGBM,23,0.29012179213244976,0.2929968362000725
LGBM,24,0.27606243001502656,0.2929968362000725
LGBM,25,0.28766144306784375,0.2929968362000725
LGBM,26,0.27860112546105215,0.2929968362000725
LGBM,27,0.26917915404665854,0.2929968362000725
LGBM,28,0.2886010825917094,0.2929968362000725
LGBM,29,0.26847808128452383,0.2929968362000725
LGBM,30,0.27879232057645,0.2929968362000725
LGBM,31,0.2782293433535475,0.2929968362000725
LGBM,32,0.28453500281883165,0.2929968362000725
LGBM,33,0.2844486310974147,0.2929968362000725
LGBM,34,0.2899271578442542,0.2929968362000725
LGBM,35,0.2975710054278497,0.2975710054278497
LGBM,36,0.2917483953286012,0.2975710054278497
LGBM,37,0.2898053799262654,0.2975710054278497
LGBM,38,0.28622930778747563,0.2975710054278497
LGBM,39,0.29558961544154977,0.2975710054278497
LGBM,40,0.2642863104507,0.2975710054278497
LGBM,41,0.2919655958276603,0.2975710054278497
LGBM,42,0.2793581164630818,0.2975710054278497
LGBM,43,0.26160875245611204,0.2975710054278497
LGBM,44,0.28105724071307747,0.2975710054278497
LGBM,45,0.26676500943491344,0.2975710054278497
LGBM,46,0.2691989670997234,0.2975710054278497
LGBM,47,0.25236326264882997,0.2975710054278497
LGBM,48,0.2833605169136949,0.2975710054278497
LGBM,49,0.2687797693756147,0.2975710054278497
LGBM,50,0.2708531569104451,0.2975710054278497
LGBM,51,0.24743853604895502,0.2975710054278497
LGBM,52,0.2936099293213706,0.2975710054278497
LGBM,53,0.2865270920506192,0.2975710054278497
LGBM,54,0.28536331848722835,0.2975710054278497
LGBM,55,0.29396737431469144,0.2975710054278497
LGBM,56,0.27674657073847286,0.2975710054278497
LGBM,57,0.2712740883967318,0.2975710054278497
LGBM,58,0.22007887124242387,0.2975710054278497
LGBM,59,0.26921980831940623,0.2975710054278497
LGBM,60,0.29635460469985464,0.2975710054278497
LGBM,61,0.2902638577817713,0.2975710054278497
LGBM,62,0.2961688109378597,0.2975710054278497
LGBM,63,0.30605403893603134,0.30605403893603134
LGBM,64,0.3008824801835336,0.30605403893603134
LGBM,65,0.29461412616430044,0.30605403893603134
LGBM,66,0.2984483976025117,0.30605403893603134
LGBM,67,0.2962729299997438,0.30605403893603134
LGBM,68,0.29842082967400413,0.30605403893603134
LGBM,69,0.2948971367765014,0.30605403893603134
LGBM,70,0.2840621635557709,0.30605403893603134
LGBM,71,0.29709818783999,0.30605403893603134
LGBM,72,0.29176923398043003,0.30605403893603134
LGBM,73,0.29839467870364994,0.30605403893603134
LGBM,74,0.29663296295051694,0.30605403893603134
LGBM,75,0.28395872372959235,0.30605403893603134
LGBM,76,0.2981218147185038,0.30605403893603134
LGBM,77,0.2980172604877703,0.30605403893603134
LGBM,78,0.29381465870130824,0.30605403893603134
LGBM,79,0.2927002905121015,0.30605403893603134
CatBoost,0,0.2954263743846721,0.2954263743846721
CatBoost,1,0.26000955505341955,0.2954263743846721
CatBoost,2,0.2301598960421594,0.2954263743846721
CatBoost,3,0.30291618778692625,0.30291618778692625
CatBoost,4,0.3232072171676689,0.3232072171676689
CatBoost,5,0.29821039146123174,0.3232072171676689
CatBoost,6,0.2955445666322607,0.3232072171676689
CatBoost,7,0.3283714390314109,0.3283714390314109
CatBoost,8,0.31368407390961506,0.3283714390314109
CatBoost,9,0.30502706103030486,0.3283714390314109
CatBoost,10,0.34246338830772327,0.34246338830772327
CatBoost,11,0.35204166342560583,0.35204166342560583
CatBoost,12,0.35296028795461076,0.35296028795461076
CatBoost,13,0.3419927622334155,0.35296028795461076
CatBoost,14,0.33257861026569563,0.35296028795461076
CatBoost,15,0.3528695576415825,0.35296028795461076
CatBoost,16,0.3327047281124624,0.35296028795461076
CatBoost,17,0.3311728861806423,0.35296028795461076
CatBoost,18,0.333864515517432,0.35296028795461076
CatBoost,19,0.3256867593076966,0.35296028795461076
CatBoost,20,0.30895074532272493,0.35296028795461076
CatBoost,21,0.34325449583047823,0.35296028795461076
CatBoost,22,0.3464935194128144,0.35296028795461076
CatBoost,23,0.3301928218230636,0.35296028795461076
CatBoost,24,0.335930918956711,0.35296028795461076
CatBoost,25,0.3449502524986099,0.35296028795461076
CatBoost,26,0.3326094912475282,0.35296028795461076
CatBoost,27,0.3454500745330547,0.35296028795461076
